                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.36422,                 3.1438,                0.87488,                0.79064,                0.82758,                0.91118,                0.90951,                0.19216,                0.89346,                0.77638,             8.6714e-05,             8.6714e-05,             8.6714e-05
                      1,                0.21982,                0.71623,                0.80322,                0.99095,                0.99298,                  0.995,                0.99112,                0.20274,                0.26778,                0.77657,             0.00017268,             0.00017268,             0.00017268
                      2,                0.20371,                0.43017,                0.79766,                0.99169,                0.98733,                  0.995,                0.99281,                0.18452,                0.20253,                0.77282,             0.00025694,             0.00025694,             0.00025694
                      3,                0.19459,                0.35049,                0.79697,                0.99611,                0.99772,                0.99499,                0.99437,                0.15153,                0.15035,                0.77047,             0.00025531,             0.00025531,             0.00025531
                      4,                0.18317,                0.30306,                0.79515,                0.99397,                0.99743,                  0.995,                0.99326,                0.16426,                0.14115,                0.77342,             0.00025531,             0.00025531,             0.00025531
                      5,                 0.1753,                0.26881,                0.79246,                0.99461,                0.99435,                  0.995,                0.99379,                0.16712,                0.14936,                0.77299,             0.00025274,             0.00025274,             0.00025274
                      6,                0.17061,                0.26325,                0.79158,                0.99754,                0.99944,                  0.995,                0.99439,                0.13313,                0.11806,                0.76852,             0.00025018,             0.00025018,             0.00025018
                      7,                0.16639,                0.24689,                0.79195,                0.99838,                0.99918,                  0.995,                0.99462,                0.14325,                 0.1224,                0.76965,             0.00024761,             0.00024761,             0.00024761
                      8,                0.16286,                  0.236,                0.79034,                0.99844,                      1,                  0.995,                0.99494,                 0.1336,                0.12113,                0.76857,             0.00024505,             0.00024505,             0.00024505
                      9,                 0.1591,                0.22686,                0.79112,                0.99717,                0.99977,                  0.995,                0.99485,                 0.1454,                0.13121,                0.76982,             0.00024249,             0.00024249,             0.00024249
                     10,                0.15659,                0.22283,                0.79154,                0.99806,                      1,                  0.995,                0.99445,                 0.1383,                 0.1123,                0.76867,             0.00023992,             0.00023992,             0.00023992
                     11,                0.15544,                0.21227,                0.78968,                 0.9983,                      1,                  0.995,                0.99469,                0.13619,                0.10655,                0.76896,             0.00023736,             0.00023736,             0.00023736
                     12,                0.15006,                0.20292,                0.78799,                0.99845,                      1,                  0.995,                0.99472,                0.15072,                0.10953,                0.77078,             0.00023479,             0.00023479,             0.00023479
                     13,                0.15014,                0.20298,                 0.7904,                0.99666,                0.99878,                  0.995,                0.99495,                0.14634,                0.12053,                0.76908,             0.00023223,             0.00023223,             0.00023223
                     14,                 0.1481,                0.19994,                0.78878,                0.99869,                      1,                  0.995,                 0.9949,                0.12848,                0.10482,                 0.7675,             0.00022966,             0.00022966,             0.00022966
                     15,                0.14615,                0.19188,                0.78851,                0.99782,                0.99964,                  0.995,                0.99442,                0.15685,                0.10773,                0.77079,              0.0002271,              0.0002271,              0.0002271
                     16,                0.14394,                0.18957,                0.78806,                0.99814,                      1,                  0.995,                0.99488,                0.13128,                0.10168,                0.76826,             0.00022454,             0.00022454,             0.00022454
                     17,                0.14072,                0.18186,                0.78716,                0.99805,                 0.9988,                  0.995,                0.99495,                0.12268,                0.09892,                0.76735,             0.00022197,             0.00022197,             0.00022197
                     18,                0.14267,                0.18204,                 0.7877,                 0.9983,                      1,                  0.995,                 0.9949,                0.13243,                0.09912,                0.76825,             0.00021941,             0.00021941,             0.00021941
                     19,                0.13916,                0.17969,                0.78769,                0.99818,                      1,                  0.995,                0.99489,                0.12772,                0.09873,                0.76779,             0.00021684,             0.00021684,             0.00021684
                     20,                 0.1381,                 0.1751,                0.78813,                0.99825,                      1,                  0.995,                0.99488,                0.12585,                0.09099,                0.76656,             0.00021428,             0.00021428,             0.00021428
                     21,                0.13635,                0.17196,                0.78596,                0.99847,                      1,                  0.995,                0.99497,                0.12978,                0.09294,                0.76723,             0.00021172,             0.00021172,             0.00021172
                     22,                0.13682,                0.17089,                0.78816,                0.99864,                      1,                  0.995,                0.99496,                0.12344,                0.09326,                0.76691,             0.00020915,             0.00020915,             0.00020915
                     23,                0.13515,                0.16993,                0.78721,                0.99885,                      1,                  0.995,                 0.9949,                0.12921,                0.09541,                  0.767,             0.00020659,             0.00020659,             0.00020659
                     24,                0.13519,                0.16907,                0.78559,                0.99876,                      1,                  0.995,                0.99496,                0.12705,                0.09474,                0.76733,             0.00020402,             0.00020402,             0.00020402
                     25,                0.13217,                 0.1627,                0.78696,                0.99883,                      1,                  0.995,                0.99483,                0.12193,                0.09063,                0.76728,             0.00020146,             0.00020146,             0.00020146
                     26,                0.13268,                0.16437,                0.78667,                0.99879,                      1,                  0.995,                0.99494,                 0.1394,                0.09923,                0.76854,             0.00019889,             0.00019889,             0.00019889
                     27,                0.13113,                0.16165,                0.78548,                 0.9983,                0.99955,                  0.995,                0.99497,                0.12498,                0.09481,                0.76729,             0.00019633,             0.00019633,             0.00019633
                     28,                0.13147,                0.16125,                0.78508,                0.99889,                      1,                  0.995,                0.99487,                0.12567,                0.08842,                 0.7665,             0.00019377,             0.00019377,             0.00019377
                     29,                0.13109,                0.15556,                0.78447,                 0.9985,                      1,                  0.995,                0.99492,                 0.1294,                0.08874,                0.76723,              0.0001912,              0.0001912,              0.0001912
                     30,                0.12931,                0.15336,                0.78637,                0.99908,                      1,                  0.995,                0.99497,                0.11289,                0.08491,                 0.7658,             0.00018864,             0.00018864,             0.00018864
